,Chatham Roadside,,
Date,Nitric oxide,Nitrogen dioxide,PM10 particulate matter (Grav Equiv)
12/05/2021,8.74201,14.9928,18.72
13/05/2021,6.82886,18.38786,14.251
14/05/2021,7.6653,17.09818,17.834
15/05/2021,6.92359,14.42892,12.923
16/05/2021,6.41901,10.16217,13.768
17/05/2021,16.67491,24.26598,14.131
18/05/2021,18.39464,22.97909,14.292
19/05/2021,10.99523,21.69359,11.132
20/05/2021,8.08768,12.96527,16.184
21/05/2021,8.98724,9.73641,19.968
22/05/2021,13.45963,19.79158,10.185
23/05/2021,4.70417,7.96265,10.185
24/05/2021,13.73696,18.82357,12.561
25/05/2021,17.52678,20.93681,13.567
26/05/2021,15.06058,25.43672,15.66
27/05/2021,11.49816,24.76812,20.693
28/05/2021,9.04007,22.00218,28.946
29/05/2021,5.75349,17.39101,25.161
30/05/2021,1.90706,5.89944,21.297
31/05/2021,4.52292,16.06282,35.669
01/06/2021,6.0881,23.47338,29.532
02/06/2021,8.85676,36.65383,38.245
03/06/2021,10.4181,20.50974,22.102
04/06/2021,10.10915,20.15793,10.145
05/06/2021,6.09866,16.52371,13.768
06/06/2021,5.45814,14.78364,12.842
07/06/2021,4.92839,10.17648,7.85
08/06/2021,17.83099,22.65202,13.929
09/06/2021,16.90042,25.6749,14.574
10/06/2021,22.10282,17.6208,10.226
11/06/2021,22.82904,18.02459,13.003
12/06/2021,11.46089,17.1482,22.947
13/06/2021,3.93514,13.21011,17.915
14/06/2021,14.39338,26.44359,22.343
15/06/2021,4.93256,10.43415,14.292
16/06/2021,16.09385,21.86951,19.786
17/06/2021,10.84712,19.42159,15.942
18/06/2021,6.6145,13.8441,5.717
19/06/2021,4.54237,7.61869,8.011
20/06/2021,4.42299,7.67378,8.857
21/06/2021,3.17954,4.83914,13.737
22/06/2021,3.78434,6.81692,15.177
23/06/2021,6.80538,11.83746,13.889
24/06/2021,14.96282,28.40402,22.182
25/06/2021,19.483,20.52282,11.232
26/06/2021,4.66358,10.6224,11.594
27/06/2021,2.81535,8.60439,30.033
28/06/2021,7.54734,15.91963,22.706
29/06/2021,8.75935,13.09892,19.366
30/06/2021,7.62028,16.0249,11.313
01/07/2021,8.9932,19.35832,17.714
02/07/2021,6.98756,15.54443,16.023
03/07/2021,8.8851,14.51314,13.849
04/07/2021,5.49262,7.86278,9.622
05/07/2021,13.38907,13.29752,9.944
06/07/2021,10.67069,11.1481,14.332
07/07/2021,15.87336,13.99939,15.942
08/07/2021,18.17372,19.44599,15.298
09/07/2021,18.5169,23.01004,18.72
10/07/2021,9.99642,17.48576,9.179
11/07/2021,5.97989,11.70151,9.541
12/07/2021,8.06567,16.13847,15.016
13/07/2021,10.38267,16.83594,14.577
14/07/2021,6.86438,14.54574,9.38
15/07/2021,7.94416,11.33409,9.058
16/07/2021,6.02586,11.03253,18.479
17/07/2021,4.85989,11.24537,7.649
18/07/2021,4.6742,13.80863,8.172
19/07/2021,9.8637,18.95657,15.016
20/07/2021,6.95646,20.32372,23.511
21/07/2021,5.99035,21.53482,30.556
22/07/2021,4.99273,14.46959,21.993
23/07/2021,3.38295,7.48949,14.332
24/07/2021,4.54772,15.26132,32.005
25/07/2021,3.70485,13.48242,22.504
26/07/2021,9.98245,21.38181,27.295
27/07/2021,10.73952,17.59725,13.527
28/07/2021,9.6033,11.12309,13.326
29/07/2021,11.4022,12.38176,15.375
30/07/2021,8.46721,9.97335,11.071
31/07/2021,13.81142,17.99636,8.172
01/08/2021,8.46191,12.31329,10.346
02/08/2021,4.4246,10.7642,11.353
03/08/2021,5.33749,13.13902,11.675
04/08/2021,6.4047,16.87919,14.211
05/08/2021,6.27532,11.19156,12.883
06/08/2021,9.65165,10.37518,15.258
07/08/2021,8.81901,10.53895,10.105
08/08/2021,4.59374,5.97836,17.029
09/08/2021,12.03408,12.47927,12.561
10/08/2021,17.28253,18.89625,12.423
11/08/2021,12.24727,15.99044,nodata
12/08/2021,16.47613,16.98275,nodata
13/08/2021,13.18527,15.01836,nodata
14/08/2021,11.79706,15.21958,nodata
15/08/2021,6.43408,9.77946,nodata
16/08/2021,10.5242,21.17437,nodata
17/08/2021,nodata,nodata,nodata
18/08/2021,nodata,nodata,nodata
19/08/2021,16.24534,22.16589,8.978
20/08/2021,15.14277,21.61849,7.166
21/08/2021,5.04914,13.06069,10.709
22/08/2021,6.2684,17.16797,9.018
23/08/2021,4.46812,10.22876,15.459
24/08/2021,3.39295,7.51177,16.425
25/08/2021,5.85022,12.04632,9.501
26/08/2021,5.11276,10.28849,12.037
27/08/2021,7.16809,15.01122,20.33
28/08/2021,4.52612,11.24802,17.915
29/08/2021,2.86694,8.67668,14.815
30/08/2021,2.18836,5.95243,14.171
31/08/2021,4.23328,8.95951,17.955
01/09/2021,4.21946,8.32469,19.807
02/09/2021,2.90363,6.43194,22.424
03/09/2021,4.64857,10.59523,29.63
04/09/2021,2.91076,8.71856,30.033
05/09/2021,3.00805,15.66459,36.474
06/09/2021,8.72799,25.71693,35.709
07/09/2021,10.47418,30.16841,44.244
08/09/2021,10.52535,36.9252,47.183
09/09/2021,14.49459,20.05695,11.99
10/09/2021,12.45116,17.97781,7.287
11/09/2021,9.99702,16.3227,8.937
12/09/2021,4.63408,14.12378,12.842
13/09/2021,5.64349,14.01325,11.393
14/09/2021,19.94919,29.35294,28.785
15/09/2021,7.83148,25.7447,15.902
16/09/2021,14.63075,25.0882,19.534
17/09/2021,8.65992,17.73395,14.574
18/09/2021,4.10469,16.98422,20.854
19/09/2021,8.41456,24.15385,24.92
20/09/2021,8.33602,19.71741,16.103
21/09/2021,13.80997,22.03643,21.82
22/09/2021,19.17188,27.709,21.297
23/09/2021,20.04116,24.54693,10.502
24/09/2021,17.08148,23.98374,10.87
25/09/2021,10.59386,16.61717,10.266
26/09/2021,5.05341,15.27414,16.144
27/09/2021,8.64363,13.50999,7.891
28/09/2021,8.86785,14.35502,12.078
29/09/2021,17.94255,22.47247,10.185
30/09/2021,9.65427,15.58435,13.648
01/10/2021,13.5805,17.23256,12.078
02/10/2021,3.46061,5.66383,5.998
03/10/2021,7.15541,9.64996,8.414
04/10/2021,13.75739,16.1377,12.601
05/10/2021,15.98155,14.55369,9.34
06/10/2021,10.8134,21.04784,13.443
07/10/2021,15.19405,20.40745,15.258
08/10/2021,10.9488,21.02114,19.405
09/10/2021,13.50992,21.66614,37.44
10/10/2021,12.68483,23.8889,25.282
11/10/2021,14.69881,26.1457,15.701
12/10/2021,17.3162,22.84974,16.506
13/10/2021,19.8293,27.14913,13.567
14/10/2021,22.4365,21.08206,15.902
15/10/2021,11.15058,21.26324,15.016
16/10/2021,6.46926,13.15684,13.366
17/10/2021,6.25632,10.62795,13.688
18/10/2021,10.67426,14.59834,14.855
19/10/2021,10.75235,8.18999,19.566
20/10/2021,10.91377,12.16458,15.942
21/10/2021,13.16907,20.42538,12.48
22/10/2021,19.64326,23.77672,11.031
23/10/2021,9.10474,15.10676,10.95
24/10/2021,4.89822,6.7791,13.406
25/10/2021,15.35034,20.13098,19.203
26/10/2021,13.92595,16.36728,20.25
27/10/2021,9.34321,11.16926,14.453
28/10/2021,7.62802,11.59453,18.157
29/10/2021,9.58069,13.57078,17.553
30/10/2021,10.9251,17.30016,13.97
31/10/2021,4.33785,6.38297,15.057
01/11/2021,12.87284,19.52252,14.171
02/11/2021,22.66879,37.52044,15.902
03/11/2021,23.95445,33.19034,19.163
04/11/2021,5.38405,12.98,8.169
05/11/2021,31.14404,38.82439,26.007
06/11/2021,11.72296,16.85273,18.559
07/11/2021,12.04042,20.81884,19.807
08/11/2021,31.26007,30.59946,22.263
09/11/2021,24.69454,24.99773,10.789
10/11/2021,27.06589,28.31339,11.331
11/11/2021,19.76225,27.82454,8.575
12/11/2021,12.85556,16.33454,16.707
13/11/2021,7.32438,14.37146,7.246
14/11/2021,6.45197,13.02532,9.581
15/11/2021,30.88237,30.87932,21.136
16/11/2021,26.59142,34.46454,17.955
17/11/2021,29.35132,34.53351,20.466
18/11/2021,25.93662,27.28815,17.07
19/11/2021,31.73916,32.51951,16.023
20/11/2021,22.62691,28.70726,16.667
21/11/2021,6.31598,11.53522,8.937
22/11/2021,10.30893,17.34207,13.607
23/11/2021,51.33015,38.34779,25.604
24/11/2021,32.55503,41.02662,26.772
25/11/2021,13.40513,26.52401,13.929
26/11/2021,13.75128,21.74556,10.628
27/11/2021,4.65208,5.8727,5.153
28/11/2021,5.74176,13.6769,7.488
29/11/2021,36.74241,36.81592,18.157
30/11/2021,14.7887,13.35067,5.475
01/12/2021,11.56735,16.40592,12.359
02/12/2021,16.27726,27.6675,19.405
03/12/2021,21.15733,27.18938,14.372
04/12/2021,11.74541,15.51516,14.211
05/12/2021,3.06628,4.51031,8.978
06/12/2021,18.3457,19.96969,13.849
07/12/2021,4.76053,8.16797,12.601
